series,episode,baker,result,signature,signature_ingredients,showstopper,showstopper_ingredients
8,7,Steven,STAR BAKER,Italian Style Cannoli,"coffee , hazelnuts, almond praline, chocolate, lemon curd, ricotta",'Sicilian-style' Sfogliatelle,"sicilian lemon marmalade, chocolate, orange, ginger"
8,7,Chris,NA,NA,NA,NA,NA
8,7,Flo,NA,NA,NA,NA,NA
8,7,James,NA,NA,NA,NA,NA
8,7,Julia,NA,NA,NA,NA,NA
8,7,Peter,NA,NA,NA,NA,NA
8,7,Tom,NA,NA,NA,NA,NA
8,8,Kate,IN,Burrito Bedfordshire Clangers,"brown rice, vegetable filling, spiced rum, flame raisins, banana rice pudding",'Liver Building Turret' Savoy Cake,"toasted pecan, almond extract, chocolate, pondant"
8,8,Sophie,IN,Char Siu & Banana Praline Bedfordshire Clangers,"char siu pork, pecans, dark chocolate, banana",Citrus with Green Apple Croquembouche Savoy Cake,"yuzu powder, yuzu buttercream, green apple crème diplomat, freeze-dried strawberries, croquembouche"
8,8,Steven,IN,'Mediterranean Medley' Bedfordshire Clangers,"sweet potato, feta cheese, medjool dates, figs, onioin, orange blossom",Chestnut Rum Savoy Cake,"chestnut puree, dark rum, orange, cinnamon, apples, candied chestnut, fondant"
8,8,Liam,OUT,'Take Out' Bedfordshire Clangers,"sundried tomatoes, pine nuts, bramely apples, granny smith apples, pesto chicken, mozzarella, apple, plum",'Fort Wizardore' Savoy Cake,"lemon zest, bourbon caramel sauce, elderflower, chocolate"
8,8,Stacey,STAR BAKER,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,"camembert, pine nuts, caramelised onions, wild rocket, bramley apples, blueberries, cinnamon custard",'Bright' Lemon & Orange Savoy Cake,"orange, lemon, st clements buttercream, macarons, madeleines, jellies, meringues"
8,8,Chris,NA,NA,NA,NA,NA
8,8,Flo,NA,NA,NA,NA,NA
8,8,James,NA,NA,NA,NA,NA
8,8,Julia,NA,NA,NA,NA,NA
8,8,Peter,NA,NA,NA,NA,NA
8,8,Tom,NA,NA,NA,NA,NA
8,8,Yan,NA,NA,NA,NA,NA
8,9,Kate,IN,Bellini and Valencian Orange Choux Buns,"orange cream patissiere, prosecco, peach cream",'Rainbow' Meringue Centrepiece,"italian meringue, blueberry jam, mango and passion fruit cream, strawberry, blueberry"
8,9,Steven,IN,Key Lime Cheesecake and Bakewell Tart Choux Buns,"wholemeal coconut, coconut cream cheese, lime curd, frangipane, almond extract, crème patissiere, raspberry jam",'Some Air Over the Rainbow' Meringue Centrepiece,"lemon italian meringue, blackberry curd, balsamic strawberry eton mess, peppermint white chocolate ganache, macarons"
8,9,Stacey,OUT,'Choux-nicorn and Choux-moji' Choux Buns,"crème patissiere, banana chantilly cream, caramel sauce",'Flamingos in Love' Meringue Centrepiece,"white chocolate, italian meringue, passion fruit, raspberry and lemon mousse, vanilla panna cotta"
8,9,Sophie,STAR BAKER,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,"strawberry, chestnut puree, rhubarb, vanilla, chocolate, fondant",'Tutu with Opera Filling' Meringue Centrepiece,"buttercream, chocolate ganache, coffee mousse, swiss meringue"
8,9,Chris,NA,NA,NA,NA,NA
8,9,Flo,NA,NA,NA,NA,NA
8,9,James,NA,NA,NA,NA,NA
8,9,Julia,NA,NA,NA,NA,NA
8,9,Liam,NA,NA,NA,NA,NA
8,9,Peter,NA,NA,NA,NA,NA
8,9,Tom,NA,NA,NA,NA,NA
8,9,Yan,NA,NA,NA,NA,NA
8,10,Kate,Runner-up,"Roman Spelt, Coconut Kala Chana and Flower Breads","spelt, honey, kala chana, jaggery goor","White Chocolate, Yuzu and Lychee Entremet","black sesame tuile, yuzu zest, coconut, dragon fruit, chocolate, yuzu and white chocolate bavarois"
8,10,Steven,Runner-up,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads","garlic, rosemary, fontina cheese, spelt, chocolate chips, cinnamon",'Yin Yang' Entremet,"crème brulee, chocolate mousse, hazelnut, banana, chocolate"
8,10,Sophie,WINNER,"Spelt Boules, Mushroom Ciabatta & Orange Plaited Brioche","dried wild mushrooms, shitake mushrooms, orange zest",'Ode to the Honey Bee' Entremet,"honey custard, blackberry jelly, orange blossom, lemon curd, hazelnut feuilletine, lavender mousse, white chocolate, honeycomb"
8,10,Chris,NA,NA,NA,NA,NA
8,10,Flo,NA,NA,NA,NA,NA
8,10,James,NA,NA,NA,NA,NA
8,10,Julia,NA,NA,NA,NA,NA
8,10,Liam,NA,NA,NA,NA,NA
8,10,Peter,NA,NA,NA,NA,NA
8,10,Stacey,NA,NA,NA,NA,NA
8,10,Tom,NA,NA,NA,NA,NA
8,10,Yan,NA,NA,NA,NA,NA
9,1,Antony,IN,Turmeric and Caraway Goosnargh Cakes,"Mango Chilli Jam, Turmeric","""Kilimanjaro Selfie""","Ginger, cinnamon, chocolate, fondant"
9,1,Briony,IN,Apple Cider Empire Biscuits,"Apple Cider, Caramelised Apple Slice, vanilla shortbread","""Bristol Biscuit Selfie""","Lemon, poppy seed, gin royal icing"
9,1,Dan,IN,Lemon and Strawberry Shrewsburys,"Lemon zest, Strawberry Jam, ","""New Dad in Palm Springs""","Passion fruit butter cream, mango royal icing, almond sugar cookies"
9,1,Jon,IN,Aberffraw 'Creams',"butterscotch swiss meringue buttercream,  shortbread","""A Sailing Selfie by the Sea""","Cinnamon, orange, lemon curd, buttercream, royal icing, white chocolate "
9,1,Karen,IN,Yorkshire Perkins,"Flower paste, mace, corriander, nutmeg","Rosewater and Cardamom ""Holiday Selfie""","royal icing, flower paste, rosewater, cardamom"
